TITLE,Synthetic MoSe2 (Lorentzian peaks + noise)
DATA TYPE,RAMAN SPECTRUM
ORIGIN,SpectroscopyTools.jl examples
OWNER,
DATE,26/05/01
TIME,12:00:00
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,91.5759
LASTX,754.4042
NPOINTS,1024
XYDATA
91.5759,170.9
92.2238,171.8
92.8718,171.0
93.5197,171.0
94.1676,172.7
94.8155,172.2
95.4635,170.2
96.1114,169.3
96.7593,168.4
97.4072,171.6
98.0552,170.3
98.7031,172.9
99.351,172.3
99.9989,171.0
100.6469,172.4
101.2948,173.8
101.9427,171.5
102.5906,169.8
103.2386,171.3
103.8865,171.6
104.5344,169.7
105.1823,169.6
105.8303,173.7
106.4782,175.2
107.1261,174.1
107.7741,172.8
108.422,173.2
109.0699,172.3
109.7178,173.6
110.3658,172.9
111.0137,172.2
111.6616,173.7
112.3095,174.9
112.9575,173.2
113.6054,171.5
114.2533,171.4
114.9012,173.0
115.5492,172.0
116.1971,171.0
116.845,170.8
117.4929,172.5
118.1409,172.7
118.7888,175.3
119.4367,172.0
120.0846,172.0
120.7326,171.1
121.3805,171.0
122.0284,172.1
122.6763,170.9
123.3243,170.1
123.9722,171.5
124.6201,173.4
125.2681,171.8
125.916,174.0
126.5639,173.0
127.2118,173.1
127.8598,170.0
128.5077,171.3
129.1556,174.6
129.8035,172.7
130.4515,174.6
131.0994,174.7
131.7473,172.1
132.3952,170.2
133.0432,174.3
133.6911,171.2
134.339,173.8
134.9869,169.8
135.6349,172.3
136.2828,172.3
136.9307,171.6
137.5786,175.0
138.2266,174.7
138.8745,173.3
139.5224,172.2
140.1704,175.0
140.8183,171.3
141.4662,173.2
142.1141,174.1
142.7621,173.1
143.41,175.1
144.0579,172.8
144.7058,173.6
145.3538,175.8
146.0017,175.5
146.6496,176.8
147.2975,175.4
147.9455,179.1
148.5934,177.5
149.2413,177.2
149.8892,178.5
150.5372,176.3
151.1851,173.5
151.833,175.7
152.4809,173.4
153.1289,176.3
153.7768,175.7
154.4247,175.7
155.0726,174.9
155.7206,174.2
156.3685,176.8
157.0164,172.6
157.6644,173.9
158.3123,171.7
158.9602,174.0
159.6081,174.4
160.2561,176.4
160.904,174.5
161.5519,176.7
162.1998,172.8
162.8478,173.5
163.4957,173.7
164.1436,172.9
164.7915,175.6
165.4395,176.1
166.0874,175.1
166.7353,173.7
167.3832,171.5
168.0312,171.6
168.6791,173.9
169.327,175.1
169.9749,174.8
170.6229,174.0
171.2708,172.9
171.9187,174.7
172.5667,174.7
173.2146,174.7
173.8625,174.3
174.5104,175.2
175.1584,174.1
175.8063,175.8
176.4542,175.1
177.1021,173.6
177.7501,172.4
178.398,173.5
179.0459,175.6
179.6938,173.1
180.3418,177.0
180.9897,173.6
181.6376,174.3
182.2855,175.1
182.9335,174.5
183.5814,177.3
184.2293,175.7
184.8772,175.6
185.5252,176.7
186.1731,176.2
186.821,174.5
187.4689,173.6
188.1169,173.7
188.7648,175.5
189.4127,174.6
190.0607,175.7
190.7086,173.7
191.3565,174.8
192.0044,173.3
192.6524,174.1
193.3003,176.2
193.9482,177.4
194.5961,173.1
195.2441,176.9
195.892,176.9
196.5399,174.4
197.1878,177.9
197.8358,174.4
198.4837,176.7
199.1316,177.2
199.7795,175.4
200.4275,174.3
201.0754,179.6
201.7233,175.8
202.3712,177.4
203.0192,175.5
203.6671,176.0
204.315,177.0
204.963,177.3
205.6109,172.1
206.2588,175.6
206.9067,178.2
207.5547,179.9
208.2026,176.9
208.8505,178.0
209.4984,176.8
210.1464,178.5
210.7943,177.2
211.4422,177.5
212.0901,177.3
212.7381,175.4
213.386,178.0
214.0339,177.4
214.6818,174.0
215.3298,178.0
215.9777,178.3
216.6256,175.6
217.2735,176.1
217.9215,176.2
218.5694,180.2
219.2173,176.3
219.8652,175.4
220.5132,177.5
221.1611,177.0
221.809,178.1
222.457,175.5
223.1049,178.1
223.7528,175.9
224.4007,177.2
225.0487,180.6
225.6966,180.4
226.3445,180.0
226.9924,179.9
227.6404,180.9
228.2883,181.3
228.9362,180.7
229.5841,182.0
230.2321,181.7
230.88,183.7
231.5279,181.0
232.1758,183.5
232.8238,183.3
233.4717,186.1
234.1196,188.1
234.7675,189.6
235.4155,190.9
236.0634,197.2
236.7113,201.3
237.3593,207.8
238.0072,223.4
238.6551,240.9
239.303,269.3
239.951,306.3
240.5989,345.0
241.2468,348.9
241.8947,316.3
242.5427,275.6
243.1906,242.8
243.8385,224.3
244.4864,211.5
245.1344,206.7
245.7823,198.4
246.4302,192.2
247.0781,191.0
247.7261,188.2
248.374,187.8
249.0219,186.7
249.6698,182.7
250.3178,180.9
250.9657,181.6
251.6136,183.1
252.2615,180.3
252.9095,179.7
253.5574,180.2
254.2053,180.9
254.8533,180.5
255.5012,180.6
256.1491,179.3
256.797,180.2
257.445,180.3
258.0929,183.0
258.7408,179.6
259.3887,178.7
260.0367,181.7
260.6846,178.8
261.3325,179.1
261.9804,179.1
262.6284,179.8
263.2763,178.7
263.9242,179.4
264.5721,175.3
265.2201,179.8
265.868,177.1
266.5159,179.4
267.1638,182.2
267.8118,180.9
268.4597,179.5
269.1076,178.6
269.7556,181.7
270.4035,179.8
271.0514,178.0
271.6993,179.6
272.3473,179.5
272.9952,179.1
273.6431,178.6
274.291,179.9
274.939,177.3
275.5869,177.7
276.2348,178.4
276.8827,180.6
277.5307,181.0
278.1786,182.1
278.8265,181.6
279.4744,180.7
280.1224,180.3
280.7703,183.4
281.4182,181.9
282.0661,183.3
282.7141,184.4
283.362,184.5
284.0099,181.0
284.6578,187.6
285.3058,186.2
285.9537,187.5
286.6016,187.6
287.2496,188.8
287.8975,186.2
288.5454,187.2
289.1933,187.3
289.8413,184.6
290.4892,180.0
291.1371,182.7
291.785,185.0
292.433,181.0
293.0809,183.2
293.7288,182.4
294.3767,180.9
295.0247,179.9
295.6726,181.7
296.3205,178.7
296.9684,179.5
297.6164,179.8
298.2643,179.1
298.9122,180.5
299.5601,181.7
300.2081,179.4
300.856,180.8
301.5039,181.4
302.1519,179.3
302.7998,180.5
303.4477,179.9
304.0956,181.2
304.7436,180.5
305.3915,179.9
306.0394,180.7
306.6873,180.6
307.3353,179.3
307.9832,180.4
308.6311,182.3
309.279,180.9
309.927,180.1
310.5749,178.1
311.2228,181.5
311.8707,179.8
312.5187,180.1
313.1666,180.4
313.8145,181.3
314.4624,180.3
315.1104,177.7
315.7583,176.6
316.4062,177.7
317.0541,176.9
317.7021,178.4
318.35,182.3
318.9979,177.9
319.6459,180.0
320.2938,177.3
320.9417,180.0
321.5896,177.2
322.2376,182.3
322.8855,177.9
323.5334,178.1
324.1813,180.2
324.8293,180.2
325.4772,178.6
326.1251,180.8
326.773,181.7
327.421,180.7
328.0689,179.8
328.7168,179.2
329.3647,181.0
330.0127,178.9
330.6606,180.9
331.3085,180.9
331.9564,180.9
332.6044,182.9
333.2523,180.9
333.9002,177.8
334.5482,176.7
335.1961,179.5
335.844,182.6
336.4919,180.7
337.1399,178.1
337.7878,179.5
338.4357,178.4
339.0836,180.2
339.7316,181.4
340.3795,183.6
341.0274,183.1
341.6753,181.9
342.3233,178.8
342.9712,179.0
343.6191,180.1
344.267,181.2
344.915,180.5
345.5629,179.6
346.2108,178.7
346.8587,178.8
347.5067,180.7
348.1546,181.8
348.8025,180.6
349.4504,179.9
350.0984,180.8
350.7463,184.1
351.3942,180.6
352.0422,181.5
352.6901,182.6
353.338,179.4
353.9859,178.9
354.6339,179.3
355.2818,184.1
